SpID	SpForm	SpLemma	SpGramCat	SpPersNum	SpNeg	RusID	RusForm	RusLemma	RusGramCat	RusPersNum	RusNeg	Notes	
S17:21	enterramos	enterrar	IndicPret	1pl		R3:21	похоронили	похоронить	PerfPast	Pl			
S17:22	cumpleaños	NA	Noun	NA		R3:22	исполнилось	исполниться	PerfPast	SgN		imp	
S17:23	recuerdo	recordar	IndicPres	1sg		R3:23	помню	помнить	ImpPres	1sg			
S17:24	llovió	llover	IndicPret	3sg		R3:24	шел	идти	ImpPast	SgM			
S17:25	pregunté	preguntar	IndicPret	1sg		R3:25	спросил	спросить	PerfPast	SgM			
S17:26	lloraba	llorar	IndicIpfct	3sg		R3:26	плачет	плакать	ImpPres	3sg			
S17:27	NA	NA	NA	NA		R3:27	смог	смочь	PerfPast	SgM	не		
S17:28	faltó	faltar	IndicPret	3sg		R3:28	подвел	подвести	PerfPast	SgM			
S17:29	responderme	responder	Inf	Inf		R3:29	ответить	ответить	PerfInf	Inf			
S17:30	era	ser	IndicIpfct	3sg		R3:30	зияло	зиять	ImpPast	SgN			
S17:31	había aprendido	aprender	PrfctPast	1sg	no	R3:31	научился	научиться	PerfPast	SgM	не		
S17:32	acallar	acallar	Inf	Inf		R3:32	заглушать	заглушать	PerfInf	Inf			
S17:33	vivíamos	vivir	IndicIpfct	1pl		R3:33	жили	жить	ImpPast	Pl			
S17:34	estaba	estar	IndicIpfct	3sg		R3:34	располагалась	располагаться	ImpPast	SgF			
S17:35	especializada	especializar	PastPart	NA		R4:1	торговавшим	торговать	ImpPastAP	NA			
S17:36	usados	usar	PastPart	NA		R4:2	подержанными	подержать	PerfPPP	NA			
S17:37	heredada	heredar	PastPart	NA		R3:35	унаследованным	унаследовать	PerfPPP	NA			
S17:38	encantado	encantar	PastPart	NA		R4:3	заколдованным	заколдовать	PerfPPP	NA			
S17:39	confiaba	confiar	IndicIpfct	3sg		R4:4	полагал	полагать	ImpPast	SgM			
S18:1	pasaría	pasar	IndicCond	3sg		R4:5	вступить	вступить	PerfInf	Inf		дожен был…	
S18:2	me crié	criarse	IndicPret	1sg		R4:6	вырос	вырасти	PerfPast	SgM			
S18:3	haciendo	hacer	PresPart	NA		R4:7	находя	находить	ImpGer	NA			
S18:4	se deshacían	deshacerse	IndicIpfct	3pl		R4:8	рассыпáвшихся	рассыпáться	ImpPastAP	NA			
S18:5	conservo	conservar	IndicPres	1sg		R4:9	хранят	хранить	ImpPres	3pl			
S18:6	aprendí	aprender	IndicPret	1sg		R4:10	появилась	появиться	PerfPast	SgF			
S18:7	conciliar	conciliar	Inf	Inf		R4:11	сквозь сон	NA	PP	NA			
S18:8	explicaba	explicar	IndicIpfct	1sg		R4:12	рассказывать	рассказывать	ImpInf	Inf			
S18:9	las incidencias	NA	Noun	NA		R4:13	произошло	произойти	PerfPast	SgN			
S18:10	había aprendido	aprender	PrfctPast	1sg		R4:14	узнал	узнать	PerfPast	SgM			
S18:11	podía	poder	IndicIpfct	1sg	no	R4:15	мог	мочь	ImpPast	SgM	не		
S18:12	oír	oír	Inf	Inf		R4:16	слышать	слышать	ImpInf	Inf			
S18:13	sentir	sentir	Inf	Inf		R4:17	чувствовать	чувствовать	ImpInf	Inf			
S18:14	NA	NA	NA	NA		R4:18	исходившие	исходить	ImpPastAP	NA			
S18:15	ardían	arder	IndicIpfct	3pl		R4:19	пульсировали	пульсировать	ImpPast	Pl			
S18:16	pueden	poder	IndicPres	3pl		R4:20	можно	NA	Adverb	NA			
S18:17	contar	contar	Inf	Inf		R4:21	пересчитать	пересчитать	PerfInf	Inf			
S18:18	creía	creer	IndicIpfct	1sg		R4:22	представлял	представлять	ImpPast	SgM			
S18:19	cerraba	cerrar	IndicIpfct	1sg		R4:23	закрыв	закрыть	PerfGer	NA			
S18:20	hablaba	hablar	IndicIpfct	1sg		R4:24	зову	звать	ImpPres	1sg			
S18:21	podría	poder	IndicCond	1sg		R4:25	NA	NA	NA	NA			
S18:22	oír	oír	Inf	Inf		R4:26	слышит	слышать	ImpPres	3sg			
S18:23	estuviese	estar	SubjIpfct2	3sg		R4:27	обретается	обретаться	ImpPres	3sg			
S18:24	NA	NA	NA	NA		R4:28	знал	знать	ImpPast	SgM			
S18:25	escuchaba	escuchar	IndicIpfct	3sg		R4:29	слышал	слышать	ImpPast	SgM			
S18:26	lloraba	llorar	IndicIpfct	3sg		R4:30	плакал	плакать	ImpPast	SgM			
S18:27	recuerdo	recordar	IndicPres	1sg		R4:31	помню	помнить	ImpPres	1sg			
S18:28	me desperté	despertarse	IndicPret	1sg		R4:32	проснулся	проснуться	PerfPast	SgM			
S18:29	gritando	gritar	PresPart	NA		R4:33	от собственного крика	NA	PP	NA			
S18:30	batía	batir	IndicIpfct	3sg		R4:34	колотилось	колотиться	ImpPast	SgN			
S18:31	quisiera	querer	SubjIpfct	3sg		R4:35	будто	NA	Conj	NA			
S18:32	abrirse	abrirse	Inf	Inf		R4:36	рвалась	рваться	ImpPast	SgF			
S18:33	echar	echar	Inf	Inf		R4:37	NA	NA	NA	NA		echar a correr rendered as one verb in Russian	
S18:34	corrrer	correr	Inf	Inf		R4:38	взбежать	взбежать	PerfInf	Inf			
S18:35	acudió	acudir	IndicPret	3sg		R4:39	прибежал	прибежать	PerfPast	SgM			
S18:36	azorado	azorar	PastPart	NA		R4:40	встревоженный	встревожить	PerfPPP	NA			
S18:37	sostuvo	sostener	IndicPret	3sg		R4:41	взял	взять	PerfPast	SgM			
S18:38	intentando	intentar	PresPart	NA		R4:42	попытался	попытаться	PerfPast	SgM			
S18:39	calmar	calmar	Inf	Inf		R4:43	успокоить	успокоить	PerfInf	Inf			
S18:40	puedo	poder	IndicPres	1sg	no	R4:44	могу	мочь	ImpPres	1sg	не		
S18:41	acordarme	acordarse	Inf	Inf		R4:45	вспомнить	вспомнить	PerfInf	Inf			
S18:42	murmuré	murmurar	IndicPret	1sg		R4:47	лепетал	лепетать	ImpPast	SgM			
S18:43	sin aliento	NA	PP	NA		R4:46	задыхаясь	задыхаться	ImpGer	NA			
S18:44	abrazó	abrazar	IndicPret	3sg		R4:48	NA	NA	NA	NA		Sentence missing in Russian	
S18:45	te preocupes	preocuparse	ImtvNeg	2sg	no	R4:49	бойся	бояться	ImpImtv	2sg	не		
S18:46	me acordaré	acordarse	IndicFut	1sg		R4:50	буду помнить	помнить	ImpFut	1sg			
S18:47	nos miramos	mirarse	IndicPret	1pl		R4:51	смотрели	смотреть	ImpPast	Pl			
S18:48	NA	NA	NA	NA		R4:52	пытаясь	пытаться	ImpGer	NA			
S18:49	buscando	buscar	PresPart	NA		R4:53	найти	найти	PerfInf	Inf			
S18:50	existían	existir	IndicIpfct	3pl	no	R4:54	существовало	существовать	ImpPast	SgN	не		
S18:51	fue	ser	IndicPret	3sg		R4:55	тогда	NA	Adverb	NA			
S18:52	me di	darse	IndicPret	1sg		R4:56	понял	понять	PerfPast	SgM			
S18:53	envejecía	envejecer	IndicIpfct	3sg		R4:57	стареет	стареть	ImpPres	3sg			
S18:54	de niebla	NA	PP	NA		R4:58	затуманенные	затуманить	PerfPPP	NA			
S18:55	de pérdida	NA	PP	NA		R4:59	опустошенные	опустошить	PerfPPP	NA			
S18:56	miraban	mirar	IndicIpfct	3pl		R4:60	смотрят	смотреть	ImpPres	3pl			
S18:57	se incorporó	incorporarse	IndicPret	3sg		R4:61	потянулся	потянуться	PerfPast	SgM			
S18:58	descorrió	descorrer	IndicPret	3sg		R4:62	NA	NA	NA	NA			
S18:59	dejar	dejar	Inf	Inf		R4:63	впустить	впустить	PerfInf	Inf			
S18:60	entrar	entrar	Inf	Inf		R4:64	NA	NA	NA	NA			
S18:61	anda	andar	ImtvAff	2sg		R4:65	давай	давать	ImpImtv	2sg			
S18:62	vístete	vestirse	ImtvAff	2sg		R4:66	одевайся	одеваться	ImpImtv	2sg			
S18:63	quiero	querer	IndicPres	1sg		R4:67	должен	NA	Adj	NA			
S18:64	enseñar	enseñar	Inf	Inf		R4:68	показать	показать	PerfInf	Inf			
S18:65	dijo	dicer	IndicPret	3sg		R4:69	NA	NA	NA	NA		Not translated in Russian	
S18:66	hay	haber	IndicPres	3sg		R5:1	zero copula	NA	zero copula	NA			
S18:67	pueden	poder	IndicPres	3pl		R5:2	NA	NA	NA	NA			
S18.68	verse	verse	Inf	Inf		R5:3	видны	Adj	NA	NA			
S18:69	insinuó	insinuar	IndicPret	3sg		R5:4	произнес	произнести	PerfPast	SgM			
S18:70	blandiendo	blandir	PresPart	NA		R5:5	улыбаясь	улыбаться	ImpGer	NA			
S18:70	había tomado	tomar	PrfctPast	3sg		R5:6	позаимствовал	позаимствовать	PerfPast	SgM			
S18:71	prestada	prestar	PastPart	NA		R5:7	NA	NA	NA	NA			
S18:72	languidecían	languidecer	IndicIpfct	3pl		R5:9	тонули	тонуть	ImpPast	Pl			
S18:73	salimos	salir	IndicPret	1pl		R5:8	вышли	выйти	PerfPast	Pl			
S18:74	dibujaban	dibujar	IndicIpfct	3pl		R5:11	обозначал	обозначать	ImpPast	SgM			
S19:1	parpadeando	parpadear	PresPart	NA		R5:10	мерцающий	мерцать	ImpPresAP	NA			
S19:2	se desperezaba	desperezarse	IndicIpfct	3sg		R5:12	пробуждался	пробуждаться	ImpPast	SgM			
S19:3	se desprendía	desprenderse	IndicIpfct	3sg		R5:13	утрачивая	утрачивать	ImpGer	NA			
S19:4	llegar	llegar	Inf	Inf		R5:14	дойдя	дойти	PerfGer	NA			
S19:5	nos aventuramos	aventurarse	IndicPret	1pl		R5:15	направились	направиться	PerfPast	Pl			
S19:6	prometía	prometer	IndicIpfct	3sg		R5:16	NA	NA	NA	NA			
S19:7	seguí	seguir	IndicPret	1sg		R5:17	следовал	следовать	ImpPast	SgM			
S19:8	NA	NA	NA	NA		R5:18	напоминавшему	напоминать	ImpPastAP	NA			
S19:9	se perdió	perderse	IndicPret	3sg		R5:19	остались	остаться	PerfPast	Pl	не		
S19:10	se filtraba	filtrarse	IndicIpfct	3sg		R5:20	отражали	отражать	ImpPast	Pl			
S19:11	sesgada	sesgar	PastPart	NA		R5:21	скользившие	скользить	ImpPastAP	NA			
S19:12	llegaban	llegar	IndicIpfct	3pl		R5:22	NA	NA	NA	NA			
S19:13	rozar	rozar	Inf	Inf		R5:23	NA	NA	NA	NA			
S19:14	se detuvo	detenerse	IndicPret	3sg		R5:24	остановился	остановиться	PerfPast	SgM			
S19:15	labrada	labrar	PastPart	NA		R5:25	резным	NA	Adj	NA			
S19:16	ennegrecido	ennegrecer	PastPart	NA		R5:26	потемневшим	потемнеть	PerfPastAP	NA			
S19:17	se alzaba	alzarse	IndicIpfct	3sg		R5:27	возвышалось	возвышаться	ImpPast	SgN			
S19:18	pareció	parecer	IndicPret	3sg		R5:28	напоминавшее	напоминать	ImpPastAP	NA			
S19:19	abandonado	abandonar	PastPart	NA		R5:29	заброшенного	забросить	PerfPPP	NA			
S19:20	NA	NA	NA	NA		R5:30	мог	мочь	ImpPast	SgM			
S19:21	NA	NA	NA	NA		R5:30	располагаться	располагаться	ImpInf	Inf			
S19:22	vas a ver	ver	IrIndicPresFut	2sg		R5:33	увидишь	увидеть	PerfFut	2sg			
S19:23	puedes	poder	IndicPres	2sg	no	R5:31	должен	NA	Adj	NA	не		
S19:24	contar	contar	Inf	Inf		R5:32	рассказывать	рассказывать	ImpInf	Inf			
S19:25	plateada	platear	PastPart	NA		R5:34	седой	NA	Adj	NA			
S19:26	abrió	abrir	IndicPret	3sg		R5:35	открыл	открыть	PerfPast	SgM			
S19:27	se posó	posarse	IndicPret	3sg		R5:36	уставился	уставиться	PerfPast	SgM			
S19:28	es	ser	IndicPres	3sg		R5:37	zero copula	NA	zero copula	NA			
S19:29	anunció	anunciar	IndicPret	3sg		R5:38	сказал	сказать	PerfPast	SgM			
S19:30	cumplirá	cumplir	IndicFut	3sg		R5:39	исполнится	исполниться	PerfFut	3sg		imp	
S19:31	se hará	hacer	IndicFut	3sg		R5:40	станет	стать	PerfFut	3sg			
S19:32	tiene	tener	IndicPres	3sg		R5:41	zero copula	NA	zero copula	NA			
S19:33	conocer	conocer	Inf	Inf		R5:42	познакомиться	познакомиться	PerfInf	Inf			
S19:34	NA	NA	NA	NA		R5:43	звали	звать	ImpPast	Pl			
S19:35	invitó	invitar	IndicPret	3sg		R5:44	пригласил	пригласить	PerfPast	SgM			
S19:36	pasar	pasar	Inf	Inf		R5:45	войти	войти	PerfInf	Inf			
S19:37	cubría	cubrir	IndicIpfct	3sg		R5:46	царил	царить	ImpPast	SgM			
S19:38	insinuando	insinuar	PresPart	NA		R5:47	угадывалась	угадываться	ImpPast	SgF			
S19:39	NA	NA	NA	NA		R6:1	расписанная	расписать	PerfPPP	NA			
S19:40	poblados	poblar	PastPart	NA		R6:2	изображавшими	изображаться	ImpPastAP	NA			
S19:41	seguimos	seguir	IndicPret	1pl		R6:3	проследовали	проследовать	PerfPast	Pl			
S19:42	llegamos	llegar	IndicPret	1pl		R6:4	вошли	войти	PerfPast	Pl			
S19:43	yacía	yacer	IndicIpfct	3sg		R6:5	царил	царить	ImpPast	SgM			
S19:44	acuchillada	acuchillar	PastPart	NA		R6:6	били	бить	ImpPast	Pl			
S19:45	pendían	pender	IndicIpfct	3pl		R6:7	NA	NA	NA	NA			
S19:46	repletas	NA	Adj	NA		R6:8	забитых	забить	PerfPPP	NA			
S19:47	ascendía	ascender	IndicIpfct	NA		R6:9	вздымался	вздыматься	ImpPast	SgM			
S19:48	dibujando	dibujar	PresPart	NA		R6:10	напоминало	напоминать	ImpPast	SgN			
S19:49	dejaban	dejar	IndicIpfct	3pl		R6:11	было	быть	ImpPast	SgN			
S19:50	adivinar	adivinar	Inf	Inf		R6:12	NA	NA	NA	NA			
S19:51	miré	mirar	IndicPret	1sg		R6:13	посмотрел	посмотреть	PerfPast	SgM			
S19:52	boquiabierto	NA	Adverb	NA		R6:14	разинув	разинуть	PerfGer	NA			
S19:53	sonrió	sonreír	IndicPret	3sg		R6:15	улыбнулся	улыбнуться	PerfPast	SgM			
S19:54	guiñándome	guiñar	PresPart	NA		R6:16	подмигнул	подмигнуть	PerfPast	SgM			
S20:1	salpicando	salpicar	PresPart	NA		R6:17	NA	NA	NA	NA			
S20:2	se perfilaban	perfilarse	IndicIpfct	3pl		R6:18	бродило	бродить	ImpPast	SgN			
S20:3	se volvieron	volverse	IndicPret	3pl		R6:19	NA	NA	NA	NA			
S20:4	saludar	saludar	Inf	Inf		R6:20	приветствовали	приветствовать	ImpPast	Pl			
S20:5	reconocí	reconocer	IndicPret	1sg		R6:21	узнавал	узнавать	ImpPast	SgM			
S20:6	aparecían	aparecer	IndicIpfct	3pl		R6:22	было	быть	ImpPast	SgN			
S20:7	conspirando	conspirar	PresPart	NA		R6:23	творимого	творить	ImpPresPP	NA			
S20:8	NA	NA	NA	NA		R6:24	подозревающего	подозревать	ImpPresAP	NA			
S20:9	se arrodilló	arrodillarse	IndicPret	3sg		R6:25	опустился	опуститься	PerfPast	SgM			
S20:10	sosteniéndome	sostener	PresPart	NA		R6:26	глядя	глядеть	ImpGer	NA			
S20:11	habló	hablar	IndicPret	3sg		R6:27	заговорил	заговорить	PerfPast	SgM			
S20:12	es	ser	IndicPres	3sg		R6:28	zero copula	NA	zero copula	NA			
S20:13	ves	ver	IndicPres	2sg		R6:29	видишь	видеть	ImpPres	2sg			
S20:14	tiene	tener	IndicPres	3sg		R6:30	обладает	обладать	ImpPres	3sg			
S20:15	NA	NA	NA	NA		R6:31	живут	жить	ImpPres	3pl			
S20:16	escribió	escribir	IndicPret	3sg		R6:32	писал	писать	ImpPast	SgM			
S20:17	leyeron	leer	IndicPret	3pl		R6:33	читал	читать	ImpPast	SgM			
S20:18	vivieron	vivir	IndicPret	3pl		R6:34	жил	жить	ImpPast	SgM			
S20:19	soñaron	soñar	IndicPret	3pl		R6:35	в  своих мечтах	NA	PP	NA			
S20:20	cambia	cambiar	IndicPres	3sg		R6:36	попадает	попадать	ImpPres	3sg			
S20:21	desliza	deslizar	IndicPres	3sg		R6:37	пробегает	пробегать	ImpPres	3sg			
S20:22	crece	crecer	IndicPres	3sg		R6:38	прирастает	прирастать	ImpPres	3sg			
S20:23	se hace	hacerse	IndicPres	3sg		R6:39	становится	становиться	ImpPres	3sg			
S20:24	trajo	traer	IndicPret	3sg		R6:40	привел	привести	PerfPast	3sg			
S20:25	era	ser	IndicIpfct	3sg		R6:41	несло	нести	ImpPast	SgN			
S20:25	NA	NA	NA	NA		R6:42	было	быть	ImpPast	SgN			
S20:26	sabe	saber	IndicPres	3sg	nadie	R6:43	не известно	NA	Adverb	NA			
S20:27	existe	existir	IndicPres	3sg		R6:44	NA	NA	NA	NA			
S20:28	crearon	crear	IndicPret	3sg		R6:45	создал	создать	PerfPast	SgM			
S20:29	diré	dicer	IndicFut	1sg		R6:46	скажу	сказать	PerfFut	1sg			
S20:30	dijo	dicer	IndicPret	3sg		R6:47	сказал	сказать	PerfPast	SgM			
S20:31	desaparece	desaparecer	IndicPres	3sg		R6:48	исчезает	исчезать	ImpPres	3sg			
S20:32	cierra	cerrar	IndicPres	3sg		R6:49	закрывается	закрываться	ImpPres	3sg			
S20:33	se pierde	perderse	IndicPres	3sg		R6:50	теряется	теряться	ImpPres	3sg			
S20:34	NA	NA	NA	NA		R7:1	предается	предаваться	ImpPres	3sg			
S20:35	conocemos	conocer	IndicPres	1pl		R7:2	обретается	обретаться	ImpPres	3sg			
S20:36	aseguramos	asegurar	IndicPres	1pl		R7:3	уверены	NA	Adj	NA			
S20:37	llegue	llegar	SubjPres	3sg		R7:4	попадает	попадать	ImpPres	3sg			
S20:38	recuerda	recordar	IndicPres	3sg	nadie	R7:5	помнит	помнить	ImpPres	3sg	не		
S20:39	se han perdido	perderse	PrfctPres 	3pl		R7:6	затерявшиеся	затеряться	PerfPastAP	NA			
S20:40	viven	vivir	IndicPres	3pl		R7:7	обрели	обрести	PerfPast	Pl	обрели вечную жизнь		
S20:41	esperando	esperar	PresPart	NA		R7:8	в ожидании	NA	PP	NA			
S20:42	llegar	llegar	Inf	Inf		R7:9	явится	явиться	ImpPres	3sg			
S20:43	NA	NA	NA	NA		R7:10	вдохнет	вдохнуть	PerfFut	3sg			
S20:44	vendemos	vender	IndicPres	1pl		R7:11	продаем	продавать	ImpPres	1pl			
S20:45	compramos	comprar	IndicPres	1pl		R7:12	покупаем	покупать	ImpPres	1pl			
S20:46	tienen	tener	IndicPres	3pl	no	R7:13	принадлежит	принадлежать	ImpPres	3sg	не		
S20:47	ves	ver	IndicPres	2sg		R7:14	видишь	видеть	ImpPres	2sg			
S20:48	ha sido	ser	PrfctPres 	3sg		R7:15	была	быть	ImpPast	SgF			
S20:49	tienen	tener	IndicPres	3pl		R7:16	осталось	остаться	PerfPast	SgN	не		
S20:50	crees	creer	IndicPres	2sg		R7:17	ну как	NA	Adverb	NA			
S20:51	vas a poder	poder	IrIndicPresFut	2sg		R7:18	сможешь	смочь	PerfFut	2sg			
S20:52	guardar	guardar	Inf	Inf		R7:19	хранить	хранить	ImpInf	Inf			
S20:53	se perdió	perderse	IndicPret	3sg		R7:20	затерялся	затеряться	PerfPast	SgM			
S20:54	encantada	encantar	PastPart	NA		R7:21	наполненном	наполнить	PerfPPP	NA			
S20:55	asentí	asentir	IndicPret	1sg		R7:22	кивнул	кивнуть	PerfPast	SgM			
S20:56	sonrió	sonreír	IndicPret	3sg		R7:23	улыбнулся	улыбнуться	PerfPast	SgM			
S20:57	sabes	saber	IndicPres	2sg		R7:24	знаешь	знать	ImpPres	2sg			
S20:58	preguntó	preguntar	IndicPret	3sg		R7:25	NA	NA	NA	NA		not translated	
S21:1	negué	negar	IndicPret	1sg		R7:26	покачал	покачать	PerfPast	SgM			
S21:2	es	ser	IndicPres	3sg		R7:27	NA	NA	NA	NA			
S21:3	visita	visitar	IndicPres	3sg		R7:28	приходит	приходить	ImpPres	3sg			
S21:4	tiene	tener	IndicPres	3sg		R7:29	должен	NA	Adj	NA			
S21:5	escoger	escoger	Inf	Inf		R7:30	выбрать	выбрать	PerfInf	Inf			
S21:6	prefiera	preferir	IndicPres	3sg		R7:31	понравится	понравиться	PerfFut	3sg			
S21:7	adoptarlo	adoptar	Inf	Inf		R7:32	взять	взять	PerfInf	Inf			
S21:8	asegurándose	asegurarse	PresPart	NA		R7:33	отвечать	отвечать	ImpInf	Inf			
S21:9	desaparezca	desaparecer	SubjPres	3sg	nunca	R7:34	исчезла	исчезнуть	PerfPast	SgF	никогда не	чтобы	
S21:10	permanezca	permanecer	SubjPres	3sg		R7:35	жила	жить	ImpPast	SgF		чтобы	
S21:11	es	ser	IndicPres	3sg		R7:36	zero copula	NA	zero copula	NA			
S21:12	explicó	explicar	IndicPret	3sg		R7:37	разъяснял	разъяснять	ImpPast	SgM			
S21:13	es	ser	IndicPres	3sg		R7:38	zero copula	NA	zero copula	NA			
S21:14	deambulé	deambular	IndicPret	1sg		R7:39	бродил	бродить	ImpPast	SgM			
S21:15	olía	oler	IndicIpfct	3sg		R7:40	пропахшего	пропахнуть	PerfPastAP	NA			
S21:16	dejé	dejar	IndicPret	1sg		R7:41	свободно	NA	Adverb	NA			
S21:17	rozase	rozar	SubjIpfct2	3sg		R7:42	скользила	скользить	ImpPast	SgF			
S21:18	tentando	tentar	PresPart	NA		R7:43	вызывал	вызывать	ImpPast	SgM			
S21:19	atisbé	atisbar	IndicPret	1sg		R7:44	различал	различать	ImpPast	SgM			
S21:20	desdibujados	desdibujar	PastPart	NA		R7:45	изглоданные	изглодать	PerfPPP	NA			
S21:21	reconocía	reconocer	IndicIpfct	1sg		R7:46	угадываемых	угадывать	ImpPresPP	NA			
S21:22	era	ser	IndicIpfct	1sg		R7:47	неведомых	NA	Adj	NA			
S21:23	recorrí	recorrer	IndicPret	1sg		R7:48	шел	идти	ImpPast	SgM			
S21:24	en espiral	NA	PP	NA		R7:49	изогнувшихся	изогнуться	PerfPastAP	NA			
S21:25	pobladas	poblar	PastPart	NA		R7:50	уставленных	уставить	PerfPPP	NA			
S21:26	parecían	parecer	IndicIpfct	3pl		R7:51	казалось	казаться	ImpPast	SgN		imp	
S21:27	saber	saber	Inf	Inf		R7:52	знали	знать	ImpPast	Pl			
S21:28	asaltó	asaltar	IndicPret	3sg		R7:53	пришло	прийти	PerfPast	SgN		imp	
S21:29	se abría	abrirse	IndicIpfct	3sg		R7:54	таится	таиться	ImpPres	3sg			
S21:30	dejaba	dejar	IndicIpfct	3sg		R7:55	NA	NA	NA	NA			
S21:31	pasar	pasar	Inf	Inf		R7:56	течет	течь	ImpPres	3sg			
S21:32	ver	ver	Inf	Inf		R8:1	разглядеть	разглядеть	PerfInf	Inf			
S21:33	alcanza	alcanzar	IndicPres	3sg		R8:2	дальше	NA	Adverb	NA			
S21:34	fue	ser	IndicPret	3sg		R8:3	распорядились	распорядиться	PerfPast	Pl			
S21:35	supe	saber	IndicPret	1sg		R8:4	понял	понять	PerfPast	SgM			
S21:36	había elegido	elegir	PrfctPast	1sg		R8:5	NA	NA	NA	NA			
S21:37	iba a adoptar	adoptar	IrIndicImpfctFut	1sg		R8:6	предстоит	предстоять	ImpPres	3sg		imp	
S21:38	NA	NA	NA	NA		R8:7	взять	взять	PerfInf	Inf			
S21:39	debiera	deber	SubjIpfct	1sg		R8:8	NA	NA	NA	NA			
S21:40	decir	decir	Inf	Inf		R8:9	изъявила	изъявить	PerfPast	SgF			
S21:41	iba a adoptar	adoptar	IrIndicImpfctFut	3sg		R8:10	стать	стать	PerfInf	Inf			
S21:42	se asomaba	asomarse	IndicIpfct	3sg		R8:11	выглядывала	выглядывать	ImpPast	SgF			
S21:43	encuadernado	encuadernar	PastPart	NA		R8:12	NA	NA	NA	NA			
S21:44	susurrando	susurrar	PresPart	NA		R8:13	предлагая 	предлагать	ImpGer	NA			
S21:45	NA	NA	NA	NA		R8:14	прочесть	прочесть	PerfInf	Inf			
S21:46	ardían	arder	IndicIpfct	3pl		R8:15	сиявшее	сиять	ImpPastAP	NA			
S21:47	destilaba	destilar	IndicIpfct	3sg		R8:16	лившихся	литься	ImpPastAP	NA			
S21:48	me acerqué	acercarse	IndicPret	1sg		R8:17	подошел	подойти	PerfPast	SgM			
S21:49	acaricié	acariciar	IndicPret	1sg		R8:18	погладил	погладить	PerfPast	SgM			
S21:50	leyendo	leer	PresPart	NA		R8:19	прочитав	прочитать	PerfGer	NA			
S21:51	había oído	oír	PrfctPast	1sg	jamás	R8:20	слышал	слышать	ImpPast	SgM	не		
S21:52	importó	importar	IndicPret	3sg	no	R8:21	имело	иметь	ImpPast	SgM	не		
S21:53	estaba	estar	IndicIpfct	3sg		R8:22	было	быть	ImpPast	SgN			
S21:54	tomado	tomar	PastPart	NA		R8:23	принято	принять	PerfPPP	NA			
S22:1	tomé	tomar	IndicPret	1sg		R8:24	взял	взять	PerfPast	SgM			
S22:2	hojeé	hojear	IndicPret	1sg		R8:25	пролистал	пролистать	PerfPast	SgM			
S22:3	dejando	dejar	PresPart	NA		R8:26	высвобождая	высворбождать	ImpGer	NA			
S22:4	aletear	aletear	Inf	Inf		R8:27	NA	NA	NA	NA			
S22:5	liberado	liberar	PastPart	NA		R8:28	вырвавшись	вырваться	PerfGer	NA			
S22:6	exhaló	exhalar	IndicPret	3sg		R8:29	подняла	поднять	PerfPast	SgF			
S22:7	rehíce	rehacer	IndicPret	1sg		R8:30	пустился	пуститься	PerfPast	SgM			
S22:8	portando	portar	PresPart	NA		R8:31	зажав	зажать	PerfGer	NA			
S22:9	con una sonrisa	NA	PP	NA		R8:32	улыбаясь	улыбаться	ImpGer	NA			
